Apple iPad Pro 12.9 256Gb Wi-Fi;3243076;100;0;55000;63999;"Apple iPad Pro 12.9 256Gb Wi-Fi Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
Acer Aspire Switch 10 V 564Gb;2698454;100;0;60000;72999;"Acer Aspire Switch 10 V 564Gb Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
ASUS ZenPad 10 ZD300CL 16Gb;962182;100;0;7000;13999;"ASUS ZenPad 10 ZD300CL 16Gb Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"15.4"" Notebook Apple MacBook Pro Retina TB 2018 ";2632239;100;0;100000;156999;"15.4"" Notebook Apple MacBook Pro Retina TB 2018  Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"17.3"" Laptop ASUS ROG Chimera G703GI-E5179T";6906012;100;0;200000;254999;"17.3"" Laptop ASUS ROG Chimera G703GI-E5179T Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"13.3"" Laptop Prestigio SmartBook";702643;100;0;10000;15499;"13.3"" Laptop Prestigio SmartBook Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"13.3"" Laptop Acer Aspire V 13";4237503;100;0;37000;43999;"13.3"" Laptop Acer Aspire V 13 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"8"" Tablet Digma Plane 8522 8 Gb 3G";1845676;100;0;2000;4599;"8"" Tablet Digma Plane 8522 8 Gb 3G Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"8"" Tablet Lenovo Tab 4 Plus TB-8704X 16 3G";3190717;100;0;20000;72999;"8"" Tablet Lenovo Tab 4 Plus TB-8704X 16 3G Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"10.5"" Tablet Samsung GALAXY Tab A 3G, LTE";904579;100;0;55000;13999;"10.5"" Tablet Samsung GALAXY Tab A 3G, LTE Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";1
"21.5"" Monoblock Apple iMac";6715935;100;0;60000;156999;"21.5"" Monoblock Apple iMac Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";2
"21.5"" Monoblock Lenovo 520-22ICB";3124801;100;0;7000;254999;"21.5"" Monoblock Lenovo 520-22ICB Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";2
"23.8"" Monoblock Acer Aspire C24-865";8709342;100;0;100000;15499;"23.8"" Monoblock Acer Aspire C24-865 Intel Core i5 7th Gen 7200U (2.50 GHz) 8 GB Memory 256 GB SSD NVIDIA GeForce 940MX 17.3"" Windows 10 Home 64-Bit ONLY @ NEWEGG ";2
